id,station_name,zip_code,charge_level,latitude,longitude,modified,created,connector_type,price,site_id,status,insert stations
1254,Tin Canteen - Tesla Destination,93446,2,35.575535,-120.690239,2021-03-11 23:22:17+00:00,03/01/2019,J1772 TESLA,0,624,available,"('Tin Canteen - Tesla Destination', 2, Point(-120.690239, 35.575535), '2021-03-11 23:22:17+00:00', '2019-03-01 00:00:00', 'J1772 TESLA', 0, 624),"
1255,Tolosa Winery,93401,2,35.23117047,-120.6247443,2022-04-28 20:01:31+00:00,04/01/2018,J1772,0,625,available,"('Tolosa Winery', 2, Point(-120.6247443, 35.23117047), '2022-04-28 20:01:31+00:00', '2018-04-01 00:00:00', 'J1772', 0, 625),"
1256,Tolosa Winery,93401,2,35.23117047,-120.6247443,2022-04-28 20:01:31+00:00,04/01/2018,J1772,0,625,available,"('Tolosa Winery', 2, Point(-120.6247443, 35.23117047), '2022-04-28 20:01:31+00:00', '2018-04-01 00:00:00', 'J1772', 0, 625),"
1257,Tolosa Winery,93401,2,35.23117047,-120.6247443,2022-04-28 20:01:31+00:00,04/01/2018,J1772,0,625,available,"('Tolosa Winery', 2, Point(-120.6247443, 35.23117047), '2022-04-28 20:01:31+00:00', '2018-04-01 00:00:00', 'J1772', 0, 625),"
1258,Tolosa Winery - Tesla Destination,94301,2,35.235912,-120.621362,2021-03-11 23:22:17+00:00,04/01/2018,TESLA,0,626,available,"('Tolosa Winery - Tesla Destination', 2, Point(-120.621362, 35.235912), '2021-03-11 23:22:17+00:00', '2018-04-01 00:00:00', 'TESLA', 0, 626),"
1259,Tolosa Winery - Tesla Destination,94301,2,35.235912,-120.621362,2021-03-11 23:22:17+00:00,04/01/2018,TESLA,0,626,available,"('Tolosa Winery - Tesla Destination', 2, Point(-120.621362, 35.235912), '2021-03-11 23:22:17+00:00', '2018-04-01 00:00:00', 'TESLA', 0, 626),"
1260,Tomales Bay Resort - Tesla Destination,94937,2,38.107136,-122.862521,2021-03-11 23:22:17+00:00,03/01/2017,J1772 TESLA,0,627,available,"('Tomales Bay Resort - Tesla Destination', 2, Point(-122.862521, 38.107136), '2021-03-11 23:22:17+00:00', '2017-03-01 00:00:00', 'J1772 TESLA', 0, 627),"
1261,Topgolf - San Jose,95134,2,37.423312,-121.970122,2022-10-17 15:38:16+00:00,06/21/2021,J1772,0,628,available,"('Topgolf - San Jose', 2, Point(-121.970122, 37.423312), '2022-10-17 15:38:16+00:00', '2021-06-21 00:00:00', 'J1772', 0, 628),"
1262,Topgolf - San Jose,95134,2,37.423312,-121.970122,2022-10-17 15:38:16+00:00,06/21/2021,J1772,0,628,available,"('Topgolf - San Jose', 2, Point(-121.970122, 37.423312), '2022-10-17 15:38:16+00:00', '2021-06-21 00:00:00', 'J1772', 0, 628),"
1263,Torrey Reserve North A,92130,2,32.9293696,-117.2382781,2022-10-21 00:32:03+00:00,09/03/2021,J1772,1,629,available,"('Torrey Reserve North A', 2, Point(-117.2382781, 32.9293696), '2022-10-21 00:32:03+00:00', '2021-09-03 00:00:00', 'J1772', 1, 629),"
1264,Torrey Reserve North B,92130,2,32.9301152,-117.2378948,2022-10-21 00:32:03+00:00,06/04/2019,J1772,1,630,available,"('Torrey Reserve North B', 2, Point(-117.2378948, 32.9301152), '2022-10-21 00:32:03+00:00', '2019-06-04 00:00:00', 'J1772', 1, 630),"
1265,Torrey Reserve North B,92130,2,32.9301152,-117.2378948,2022-10-21 00:32:03+00:00,06/04/2019,J1772,1,630,available,"('Torrey Reserve North B', 2, Point(-117.2378948, 32.9301152), '2022-10-21 00:32:03+00:00', '2019-06-04 00:00:00', 'J1772', 1, 630),"
1266,Tower23 Hotel - Tesla Destination,92109,2,32.79688,-117.256607,2021-03-11 23:22:17+00:00,08/15/2016,J1772 TESLA,0,631,available,"('Tower23 Hotel - Tesla Destination', 2, Point(-117.256607, 32.79688), '2021-03-11 23:22:17+00:00', '2016-08-15 00:00:00', 'J1772 TESLA', 0, 631),"
1267,TR Wateridge - 5100,90056,2,33.988491,-118.365544,2022-10-05 22:57:34+00:00,07/27/2021,J1772,0.59,632,available,"('TR Wateridge - 5100', 2, Point(-118.365544, 33.988491), '2022-10-05 22:57:34+00:00', '2021-07-27 00:00:00', 'J1772', 0.59, 632),"
1268,TR Wateridge - 5110,90056,2,33.989476,-118.366024,2022-10-05 22:57:34+00:00,07/27/2021,J1772,0.59,633,available,"('TR Wateridge - 5110', 2, Point(-118.366024, 33.989476), '2022-10-05 22:57:34+00:00', '2021-07-27 00:00:00', 'J1772', 0.59, 633),"
1269,Trader Joe''s,94132,2,37.726656,-122.475999,2022-10-17 15:38:16+00:00,08/01/2014,J1772,0,634,available,"('Trader Joe''s', 2, Point(-122.475999, 37.726656), '2022-10-17 15:38:16+00:00', '2014-08-01 00:00:00', 'J1772', 0, 634),"
1270,Trader Joe''s,94132,2,37.726656,-122.475999,2022-10-17 15:38:16+00:00,08/01/2014,J1772,0,634,available,"('Trader Joe''s', 2, Point(-122.475999, 37.726656), '2022-10-17 15:38:16+00:00', '2014-08-01 00:00:00', 'J1772', 0, 634),"
1271,Trinchero Napa Valley - Tesla Destination,94574,2,38.528367,-122.497893,2021-03-11 23:22:17+00:00,08/15/2016,J1772 TESLA,0,635,available,"('Trinchero Napa Valley - Tesla Destination', 2, Point(-122.497893, 38.528367), '2021-03-11 23:22:17+00:00', '2016-08-15 00:00:00', 'J1772 TESLA', 0, 635),"
1272,Trinchero Napa Valley - Tesla Destination,94574,2,38.528367,-122.497893,2021-03-11 23:22:17+00:00,08/15/2016,J1772 TESLA,0,635,available,"('Trinchero Napa Valley - Tesla Destination', 2, Point(-122.497893, 38.528367), '2021-03-11 23:22:17+00:00', '2016-08-15 00:00:00', 'J1772 TESLA', 0, 635),"
1273,Twin Peaks,92064,2,32.980551,-117.061139,2022-10-17 15:38:16+00:00,05/09/2016,J1772,0,636,available,"('Twin Peaks', 2, Point(-117.061139, 32.980551), '2022-10-17 15:38:16+00:00', '2016-05-09 00:00:00', 'J1772', 0, 636),"
1274,"Twomey Cellars, Healdsburg - Tesla Destination",95448,2,38.577748,-122.877048,2021-03-11 23:22:17+00:00,05/01/2016,J1772 TESLA,0,637,available,"('Twomey Cellars, Healdsburg - Tesla Destination', 2, Point(-122.877048, 38.577748), '2021-03-11 23:22:17+00:00', '2016-05-01 00:00:00', 'J1772 TESLA', 0, 637),"
1275,"Twomey Cellars, Healdsburg - Tesla Destination",95448,2,38.577748,-122.877048,2021-03-11 23:22:17+00:00,05/01/2016,J1772 TESLA,0,637,available,"('Twomey Cellars, Healdsburg - Tesla Destination', 2, Point(-122.877048, 38.577748), '2021-03-11 23:22:17+00:00', '2016-05-01 00:00:00', 'J1772 TESLA', 0, 637),"
1276,"Twomey Cellars, Healdsburg - Tesla Destination",95448,2,38.577748,-122.877048,2021-03-11 23:22:17+00:00,05/01/2016,J1772 TESLA,0,637,available,"('Twomey Cellars, Healdsburg - Tesla Destination', 2, Point(-122.877048, 38.577748), '2021-03-11 23:22:17+00:00', '2016-05-01 00:00:00', 'J1772 TESLA', 0, 637),"
1277,Unitarian Universalist Church,94306,2,37.419672,-122.112723,2022-02-10 19:42:29+00:00,03/19/2013,J1772,0,638,available,"('Unitarian Universalist Church', 2, Point(-122.112723, 37.419672), '2022-02-10 19:42:29+00:00', '2013-03-19 00:00:00', 'J1772', 0, 638),"
1278,Unitarian Universalist Church,94306,2,37.419672,-122.112723,2022-02-10 19:42:29+00:00,03/19/2013,J1772,0,638,available,"('Unitarian Universalist Church', 2, Point(-122.112723, 37.419672), '2022-02-10 19:42:29+00:00', '2013-03-19 00:00:00', 'J1772', 0, 638),"
1279,Unitarian Universalist Church,94306,2,37.419672,-122.112723,2022-02-10 19:42:29+00:00,03/19/2013,J1772,0,638,available,"('Unitarian Universalist Church', 2, Point(-122.112723, 37.419672), '2022-02-10 19:42:29+00:00', '2013-03-19 00:00:00', 'J1772', 0, 638),"
1280,United Valet Parking,90017,2,34.046751,-118.260755,2022-10-05 22:58:03+00:00,06/09/2020,J1772,0.59,639,available,"('United Valet Parking', 2, Point(-118.260755, 34.046751), '2022-10-05 22:58:03+00:00', '2020-06-09 00:00:00', 'J1772', 0.59, 639),"
1281,United Valet Parking,90017,2,34.046751,-118.260755,2022-10-05 22:58:03+00:00,06/09/2020,J1772,0.59,639,available,"('United Valet Parking', 2, Point(-118.260755, 34.046751), '2022-10-05 22:58:03+00:00', '2020-06-09 00:00:00', 'J1772', 0.59, 639),"
1282,Universal City Nissan,90068,2,34.133446,-118.356601,2022-02-10 19:42:29+00:00,03/15/2011,CHADEMO J1772,0,640,available,"('Universal City Nissan', 2, Point(-118.356601, 34.133446), '2022-02-10 19:42:29+00:00', '2011-03-15 00:00:00', 'CHADEMO J1772', 0, 640),"
